,address_column_name,ciudad
263,,AIN DAHAS
264,,AIN DARA
265,,AIN DARD
266,,AIN DAZA
267,,AIN EBEL
268,,AIN EKRINE
269,,AIN EL BARDE
270,,AIN EL BARDI
271,,AIN EL CHAIM
272,,AIN EL DEBE
273,,AIN EL FACHE
274,,AIN EL JACHE
275,,AIN EL JECH
276,,AIN EL JECHE
277,,AIN EL KARM
278,,AIN EL SALME
279,,AIN EL TIME
280,,AIN EL ZEBDE
281,,AIN EL. KARI
282,,AIN ENOUD
283,,AIN GLAIEN
284,,AIN GLEIN
285,,AIN HALAKIN
286,,AIN HELADIN
287,,AIN HERCHE
288,,AIN HERCHI
289,,AIN HIAKIN
290,,AIN HLAKIN
291,,AIN IBEL
292,,AIN IKORINE
293,,AIN JERU
294,,AIN KEFAH
295,,AIN KHARUBI
296,,AIN KRINE
297,,AIN MELTON
298,,AIN SAADE
299,,AIN SAHER
300,,AIN SHILE
301,,AIN SRYASSE
302,,AIN TAB
303,,AIN TUSE
304,,AIN WAIZEM
305,,AIN WEZAI
306,,AIN WRYAN
307,,AIN YOUYAYA
308,,AIN ZAHITE
309,,AIN ZEHALTA
310,,AIN ZEHDI
311,,AIN ZHALTA
312,,AIN-KAREN
313,,AIN-KARU
314,,AINA
315,,AINAB
316,,AINAERFTI
317,,AINAREFTE
318,,AINAT
319,,AINATA
320,,AINDARA
321,,AINDORA
322,,AINEL DEIR
323,,AINEU
324,,AINGLAIN
325,,AINIBEL
326,,AINITE
327,,AINKRINE
328,,AINO
329,,AINOU
330,,AINTAB
331,,AINTAD
332,,AINTAG
333,,AINTAIL
334,,AINTAJ
335,,AINTAL
336,,AINTALE
337,,AINTALI
338,,AINTALO
339,,AINTAN
340,,AINTAP
341,,AINTAR
342,,AINTAS
343,,AINTEB
344,,AINTEL
345,,AINTEP
346,,AINTOB
347,,AINTOP
348,,AINTOURA
349,,AINTRINE
350,,AINTUB
351,,AINTURA
352,,AION
353,,AIR JAICHE
354,,AIR-LEL-SALIM
355,,AISIN
356,,AITA EL CHAIT
357,,AITAB
358,,AITAP
359,,AITARAUM
360,,AITAT
361,,AITEP
362,,AITOKE
363,,AITULE
364,,AIU IKORINE
365,,AIU KENIA
366,,AIUD DEIB
367,,AIVALI
368,,AIVITAK
369,,AJALBOUN
370,,AJALTOUM
371,,AJALTOUN
372,,AJAROS
373,,AJDOVSCINA
374,,AJDOVSCINA (LJUBLJANA)
375,,AJDUSICA
376,,AJON
377,,AK CHEHIR
378,,AK CHEKIR
379,,AK- CHEHIR
380,,AKABE
381,,AKABI
382,,AKALIA
383,,AKAR
384,,AKAR ATIKA
385,,AKAV
386,,AKBE
387,,AKBES
388,,AKCHEDIR
389,,AKCHEHIR
390,,AKCHEHU
391,,AKCHEKIR
392,,AKCHELURE
393,,AKECHEHIR
394,,AKHAS
395,,AKHISSAR
396,,AKKA
397,,AKKAD
398,,AKKAR
399,,AKLEH
400,,AKOTLENICA
401,,AKOURA
402,,AKRA
403,,AKRE
404,,AKREDIN
405,,AKRIEK
406,,AKRINO
407,,AKSACHIR
408,,AKSAN
409,,AKSARAY
410,,AKSHCHIR
411,,AL ALAK
412,,AL ARBI
413,,AL BAROUCK
414,,AL BAROUK
415,,AL BIRE
416,,AL ELIAN
417,,ALABE
418,,ALABITES
419,,ALACIATA
420,,ALAGOVAC
421,,ALAGUITES
422,,ALAJAERO LA GOMERA
423,,ALAJEHI
424,,ALAJERO
425,,ALAKITES
426,,ALALLA
427,,ALAN
428,,ALAOUITE
429,,ALAOUITES
430,,ALAPOVAK
431,,ALAQUITES
432,,ALATISTA
433,,ALATRATA
434,,ALATSATA
435,,ALAVELES
436,,ALAY
437,,ALBANIO
438,,ALBEX
439,,ALBINOVO
440,,ALCEP
441,,ALCHOCHA
442,,ALCOUITE
443,,ALCOULAIKA
444,,ALDAJ
445,,ALDAYA
446,,ALDINE
447,,ALEB
448,,ALEF
449,,ALEFI
450,,ALEJAN
451,,ALEJANDRIA
452,,ALEJI
453,,ALEKKO
454,,ALEKMIONIAI
455,,ALEKSANDRICA
456,,ALEKSANDRO
457,,ALEKSANDROCA
458,,ALEKSANDROVAC
459,,ALEKSANDROVAZ
460,,ALEKSANDROVO
461,,ALEMUNA
462,,ALENDKON
463,,ALEOUITES
464,,ALEP
465,,ALEP.
466,,ALEPA
467,,ALEPAB
468,,ALEPC
469,,ALEPH
470,,ALEPHO
471,,ALEPO
472,,ALEPOE
473,,ALEPP
474,,ALEPPA
475,,ALEPPE
476,,ALEPPO
477,,ALEPPO.
478,,ALEPPS
479,,ALEPS
480,,ALEPSE
481,,ALEPYSO
482,,ALESANDROVAC
483,,ALESIVICA
484,,ALESSAND.
485,,ALESSANDOV
486,,ALESSANDRETTA
487,,ALESSANDRETTE
488,,ALESSANDRIA
489,,ALESSANDROVO
490,,ALESSANDRVA
491,,ALESSENDRIA
492,,ALET KIGHAYA
493,,ALEX
494,,ALEXANDRES
495,,ALEXANDRETA
496,,ALEXANDRETE
497,,ALEXANDRETTA
498,,ALEXANDRETTE
499,,ALEXANDRIA
500,,ALEXANDRONA
501,,ALEXANDROVOTC
502,,ALEXANDROVOTCH
503,,ALEXANDROVUC
504,,ALEXO
505,,ALEY
506,,ALEY LIBAN
507,,ALFRIAN
508,,ALGANTARA
509,,ALGERGE
510,,ALGHADINE
511,,ALGHBINE
512,,ALGUITES
513,,ALHAVET
514,,ALHOSSH
515,,ALI AGA
516,,ALI NAHRI
517,,ALIAN
518,,ALIBIMAR
519,,ALIBRINAR
520,,ALIBUNAN
521,,ALIBUNAR
522,,ALICARNASSO
523,,ALIJA
524,,ALIKARNISA
525,,ALILOVAC
526,,ALINCE
527,,ALIP
528,,ALJENAS
529,,ALJMACH
530,,ALLAY
531,,ALLEMENDE
532,,ALLEPO
533,,ALLEPPO
534,,ALMA ELCHAB
535,,ALMA ZGORTA
536,,ALMAI
537,,ALMAR
538,,ALMATH
539,,ALME
540,,ALMET
541,,ALMISA
542,,ALOUITE
543,,ALOUITES
544,,ALOY
545,,ALSO ITTEBE
546,,ALSON KARISAN
547,,ALT
548,,ALT FUTAK
549,,ALT PALANKA
550,,ALT PAROVA
551,,ALT SIVAC
552,,ALTAGIER
553,,ALTFUTOK
554,,ALTIT
555,,ALTLAC
556,,ALTRATAS
557,,AM BALOUGNE
558,,AM CHAMS
559,,AM CHANS
560,,AM EL BARDE
561,,AMA
562,,AMACIA
563,,AMALA
564,,AMAM
565,,AMANDIE
566,,AMANIA
567,,AMANN
568,,AMARET
569,,AMARKI (INC0
570,,AMASGA
571,,AMASIA
572,,AMASICA
573,,AMASIEA
574,,AMASSIA
575,,AMATA
576,,AMATOUR
577,,AMBAL
578,,AMBRUS
579,,AMBURA
580,,AMELRUS
581,,AMEN F.
582,,AMERIKA
583,,AMHAN
584,,AMI ASEFTI
585,,AMIAM
586,,AMIAN
587,,AMIANA
588,,AMIATA
589,,AMIAUN
590,,AMICUN
591,,AMIDUN
592,,AMIEU
593,,AMIGUN
594,,AMINOUM
595,,AMION
596,,AMIONN
597,,AMIONY
598,,AMIOREN
599,,AMIOUM
600,,AMIOUN
601,,AMIOUR
602,,AMIOUW
603,,AMIRAN
604,,AMISALJ
605,,AMISALY
606,,AMISUM
607,,AMITAB
608,,AMIUM
609,,AMIUN
610,,AMIUR
611,,AMIYOUN
612,,AMJOUN
613,,AMMAN
614,,AMOIUN
615,,AMORIM
616,,AMOUD
617,,AMOUDIE
618,,AMOUN
619,,AMOUNIE
620,,AMPTAB
621,,AMRIE
622,,AMROUN
623,,AMS
624,,AMTAB
625,,AMTAF
626,,AMTAN
627,,AMUEUN
628,,AMUL ANNA
629,,AMYOM
630,,AMYOUN
631,,AMYRNE
632,,AN ACRIM
633,,AN ACRIN
634,,ANA(INC)
635,,ANABET
636,,ANAFAR
637,,ANATOLE
638,,ANATOLI
639,,ANATOLIA
640,,ANBOURA
641,,ANCANA
642,,ANCARA
643,,ANCONA
644,,ANCORA
645,,ANDHET
646,,ANDIJAN
647,,ANDINAREKA
648,,ANDINOPLA
649,,ANDINOPLE
650,,ANDOVICIC
651,,ANDREEVKA
652,,ANDREJ
653,,ANDRENIK
654,,ANDREYEWCY
655,,ANDRIANOPEL
656,,ANDRIANOPLE
657,,ANDRIANOPOLI
658,,ANDRIJANCI
659,,ANDRIJEVIC
660,,ANDRINGLA
661,,ANDRINOFE
662,,ANDRINOPE
663,,ANDRINOPLA
664,,ANDRINOPLAS
665,,ANDRINOPLE
666,,ANDRINOPOLIS
667,,ANDROUSSE
668,,ANDROUSSI
669,,ANDRUSI
670,,ANDURA
671,,ANFE
672,,ANGARA
673,,ANGEDC
674,,ANGO VALJ
675,,ANGORA
676,,ANGORAA
677,,ANGORO
678,,ANGORRA
679,,ANGOVA
680,,ANGRAN
681,,ANGURAS
682,,ANHOVO
683,,ANI AFAD
684,,ANI EL HACHE
685,,ANI EL JACHE
686,,ANI EL JAGE
687,,ANI EL JAJE
688,,ANI EL KBIRE
689,,ANI EL SAHN
690,,ANI JE-JE
691,,ANIATA
692,,ANICONI
693,,ANIDZIK
694,,ANIKARA
695,,ANIMAG
696,,ANIOUD
697,,ANIS
698,,ANITAB
699,,ANITALE
700,,ANITAP
701,,ANITAS
702,,ANIZ
703,,ANKABA
704,,ANKARA
705,,ANKOW
706,,ANLAVO
707,,ANNAN
708,,ANNATA
709,,ANNAZE
710,,ANNAZE'
711,,ANNIO
712,,ANNOZI
713,,ANOBRIJA
714,,ANOBRUJA
715,,ANOFA
716,,ANOMELY
717,,ANORINOPLE
718,,ANQUET
719,,ANSADAC
720,,ANSANABEC
721,,ANSSAR
722,,ANT(INC)
723,,ANTAB
724,,ANTAJI
725,,ANTAKIO
726,,ANTAKYA
727,,ANTAP
728,,ANTAURA
729,,ANTEL
730,,ANTELIAS
731,,ANTELIC
732,,ANTELIK
733,,ANTENA
734,,ANTEP
735,,ANTEPOL
736,,ANTIBE
737,,ANTICHOK
738,,ANTIGNAME
739,,ANTIGONIA
740,,ANTILIAS
741,,ANTIN
742,,ANTIOCH
743,,ANTIOCHE
744,,ANTIOCHEI
745,,ANTIOCHIA
746,,ANTIOS
747,,ANTIOTRE
748,,ANTIOURA
749,,ANTIVA
750,,ANTOARA
751,,ANTOCHOK
752,,ANTOKIA
753,,ANTON
754,,ANTONA
755,,ANTONEA
756,,ANTONOVAZ
757,,ANTONOVCE
758,,ANTORUEL
759,,ANTOURA
760,,ANTOVO
761,,ANTUARA
762,,ANTUNOVAC
763,,ANTUNOVCE
764,,ANTUNOWATZ
765,,ANTURA
766,,ANTURIN
767,,ANUSAM
768,,ANVOLIK
769,,ANYEYE
770,,ANYOUN
771,,AOMRAIL
772,,AONENAX
773,,AOUEANT
774,,AOUENAT
775,,AOUENIE
776,,APACA
777,,APACE
778,,APADIN
779,,APALFALVA
780,,APATI
781,,APATICE
782,,APATIJA
783,,APATIN
784,,APATINS
785,,APATKIN
786,,APATYN
787,,APEL
788,,APERTOLY
789,,APHAZA
790,,APIAN
791,,APION
792,,APLIT
793,,APNO
794,,APOLIE ISTRIA
795,,APRACE
796,,AQUEDA
797,,ARA
798,,ARAB KID
799,,ARABE
800,,ARABECH
801,,ARABHIR
802,,ARABIA
803,,ARABKIR
804,,ARABKIT
805,,ARABLAR
806,,ARABSALIM
807,,ARACE
808,,ARACIZE
809,,ARACUTI
810,,ARAD
811,,ARADAY
812,,ARAJA
813,,ARAK
814,,ARAKIA
815,,ARAMONA
816,,ARAMTI
817,,ARAN
818,,ARANDJELEVO
819,,ARANDJELOVA
820,,ARANDJELOVAC
821,,ARANDJELOVO
822,,ARANON
823,,ARANYOSGERES
824,,ARAPLUI
825,,ARAPSON
826,,ARASISOS
827,,ARAT
828,,ARAVAC
829,,ARAYA
830,,ARBAN
831,,ARBANASI
832,,ARBASIN
833,,ARBE
834,,ARBENIVO
835,,ARBINANO
836,,ARBINONO
837,,ARBINOV
838,,ARBINOVC
839,,ARBINOVIC
840,,ARBIWON
841,,ARBONOVE
842,,ARCEPEYE
843,,ARCHIR
844,,ARDA
845,,ARDANAN
846,,ARDZIJANKI
847,,ARENSBURG
848,,ARENTA
849,,AREZI
850,,ARGERONN
851,,ARGHIROCASTRO
852,,ARGORAN
853,,ARGYN. ALBANIA
854,,ARIA MENOR
855,,ARITOB
856,,ARKOUB
857,,ARKOUD
858,,ARKUOB SALAM
859,,ARMAS
860,,ARMCUM
861,,ARMENI
862,,ARMENIA
863,,ARMENID
864,,ARMISKAVAS
865,,ARMLA
866,,ARMOUK
867,,ARNA BARA
868,,ARNIATA
869,,ARNOUM
870,,ARNOUN
871,,ARNUSKAVAS
872,,AROCHAS
873,,AROSTAR
874,,ARSAL
875,,ARSOU
876,,ARSUN
877,,ARTABA
878,,ARTMANJA
879,,ARUGNOVI
880,,ARVACE
881,,ARZANO
882,,ARZANO DALMAZIA
883,,ARZENIK
884,,ARZOUR
885,,ASADDIKIN
886,,ASAKERT
887,,ASAMATI
888,,ASAMBEILE
889,,ASANJ
890,,ASBAIA
891,,ASCIUTURA
892,,ASCOLENOWAK
893,,ASGHBINE
894,,ASHCREDA
895,,ASIA M.
896,,ASIA MEN
897,,ASIA MENOR
898,,ASIA MINA
899,,ASIA MIND
900,,ASIA MINEURE
901,,ASIA MINOR
902,,ASIA MINORA
903,,ASIA MINORE
904,,ASIA MINORES
905,,ASIAGO
906,,ASIE
907,,ASIE MINEURE
908,,ASIJEH
909,,ASIJEK
910,,ASIJK
911,,ASIL
912,,ASIL EL BARD
913,,ASILET
914,,ASINAN JEBAIL
915,,ASKISETER
916,,ASLATINA
917,,ASLIP
918,,ASLUT
919,,ASLYE
920,,ASMAIL
921,,ASMAR
922,,ASOJEK
923,,ASONY
924,,ASOUL
925,,ASOUN
926,,ASPALA
927,,ASRAFKNIK
928,,ASRE
929,,ASSAB
930,,ASSAD
931,,ASSAMAT
932,,ASSAMATI
933,,ASSAMAZ
934,,ASSAROUM
935,,ASSATBE
936,,ASSAYBE
937,,ASSEN
938,,ASSEYBE
939,,ASSEYDE
940,,ASSIA
941,,ASSONN
942,,ASSORIN
943,,ASSOUN
944,,ASSPUANUIT
945,,ASTI
946,,ASTURIAS
947,,ASUNCION
948,,ASURUM
949,,ASYEK
950,,ASYOK
951,,ASZYBE
952,,ATABAJAR
953,,ATABAZAR
954,,ATALIA
955,,ATANA
956,,ATAPAZIA
957,,ATARUM
958,,ATARUN
959,,ATENAS
960,,ATERUOT
961,,ATHANI
962,,ATHENAS
963,,ATHENES
964,,ATIGNAME
965,,ATISO
966,,ATJDOVEC
967,,ATKARSKI
968,,ATMOS
969,,ATROVI
970,,ATTIE
971,,ATTIGNE
972,,ATTINE
973,,AUBAGNE
974,,AUBINE
975,,AUBRAVICA
976,,AUCELAUPA
977,,AUEREK
978,,AUGORA
979,,AUGUSTOVAC
980,,AUNBROCNIK
981,,AUNBRONICK
982,,AUREK
983,,AURFA
984,,AURIEK
985,,AUSCKIR
986,,AUSSIC
987,,AUSSIG
988,,AUSTIN
989,,AUSULA
990,,AUTILIAS
991,,AUTUNOWAC
992,,AV DOLNJE FOLJE
993,,AVALA
994,,AVARAK
995,,AVELLINO
996,,AVIA JAKSICI
997,,AVTOVAC
998,,AYDEN
999,,AYDIN
1000,,AYELETH
1001,,AYMOAN
1002,,AYN - EL - JERN
1003,,AYN ATTA
1004,,AYN HORCHE
1005,,AYN ORFE
1006,,AYON
1007,,AYOUM
1008,,AYOUN WADI
1009,,AZIZIE
1010,,AZMIR
1011,,AZOOR
1012,,AZZAM
1013,,A[ATOM
1014,,B CHAMBIKT
1015,,B CHAMLIKT
1016,,B DARIE
1017,,B JANNET
1018,,B ST DJURADJ
1019,,B' JEWEACH
1020,,B' MALKE
1021,,B'AZAK
1022,,B'DADA
1023,,B'SHAMLIKT
1024,,B'SIRE
1025,,B'ZAK
1026,,B(INC.)
1027,,B- PEST
1028,,B-PALANKA
1029,,B.
1030,,B. BECKEREK
1031,,B. BON KENEAN
1032,,B. BREG
1033,,B. BRESTOVAC
1034,,B. BRETOVAC
1035,,B. CHAGUI
1036,,B. DESPOTOVAC
1037,,B. EDINO
1038,,B. GRADISTE
1039,,B. HAVNE
1040,,B. JARAK
1041,,B. JAROK
1042,,B. JAVAK
1043,,B. JORAK
1044,,B. KHELME
1045,,B. KOSTAJNICA
1046,,B. MONASTIR
1047,,B. MONOSLOZ
1048,,B. MONOSTOC
1049,,B. MONOSTOR
1050,,B. MONSOTOR
1051,,B. PACHA
1052,,B. PALANCA
1053,,B. PALANKA
1054,,B. TOLOJA
1055,,B. TOPOLA
1056,,B.-PALANKA
1057,,B.BON KENEAL
1058,,B.DRAGA
1059,,B.HALA
1060,,B.HAMMOUD
1061,,B.HANNOUD
1062,,B.HANNUOU
1063,,B.JORAK
1064,,B.MARI
1065,,B.TOPOLA
1066,,B.YEZZINE
1067,,B.ZEHEN
1068,,B/SUETIGYRAGY
1069,,B;MAHSAR
1070,,B;MAHSSAR
1071,,BAAALBECK
1072,,BAABAR
1073,,BAABAT
1074,,BAABDAT
1075,,BAABECK
1076,,BAABEK
1077,,BAACHTA
1078,,BAADARAN
1079,,BAAKLIM
1080,,BAAKLINE
1081,,BAAKLUA
1082,,BAALBAK
1083,,BAALBEC
1084,,BAALBECK
1085,,BAALBEGUE
1086,,BAALBEK
1087,,BAALECHMAY
1088,,BAALEK
1089,,BAALIDATE
1090,,BAALKA
1091,,BAALOUL
1092,,BAAMRA
1093,,BAAMVA
1094,,BAAPINS
1095,,BAARDATE
1096,,BAARDATH
1097,,BAARINE
1098,,BAARNIE
1099,,BAARONA
1100,,BAASIFRENE
1101,,BAASUA
1102,,BAAURIA
1103,,BAB CHARKI
1104,,BAB EL KARASTAN
1105,,BABDA
1106,,BABDAT
1107,,BABDATE
1108,,BABINA
1109,,BABINAC
1110,,BABINARISKA
1111,,BABING
1112,,BABINOPOLJI
1113,,BABNAPOLICIA
1114,,BABOTOK
1115,,BABSKA
1116,,BAC
1117,,BAC ALLMASCH
1118,,BAC ALMAS
1119,,"BAC, NOVO SELO"
1120,,BAC.
1121,,BAC. KULA
1122,,BACA
1123,,BACAR
1124,,BACBOKAT
1125,,BACCIO
1126,,BACEVAC
1127,,BACH
1128,,BACHA
1129,,BACHAIDE
1130,,BACHAIT
1131,,BACHARRE
1132,,BACHAYA
1133,,BACHDA
1134,,BACHICHA
1135,,BACHICHE
1136,,BACHIME
1137,,BACHINE
1138,,BACHIRITE
1139,,BACHKA
1140,,BACHMAZIAN
1141,,BACHOREN
1142,,BACHTAR
1143,,BACICI
1144,,BACIMA
1145,,BACINA
1146,,BACINCE
1147,,BACKA
1148,,BACKA JARAK
1149,,BACKA KISAC
1150,,BACKA PALANKA
1151,,BACKA PELANKA
1152,,BACKA POLANKA
1153,,BACKATOPOLA
1154,,BACKI
1155,,BACKI BRED
1156,,BACKI JARAK
1157,,BACKI MONASTIR
1158,,BACKI YABASK
1159,,BACKI-MONOSTOR
1160,,BACKKA
1161,,BACKLA
1162,,BACKO
1163,,BACKO DOBRO
1164,,BACKO PETROVOSELO
1165,,BACKOG JARKA
1166,,BACKREK
1167,,BACKRITE
1168,,BACKZKA
1169,,BACKZLA
1170,,BACNE
1171,,BACNICI
1172,,BACO-ALMA
1173,,BACPETROVOSZDO
1174,,BACRALMAO
1175,,BACROUK
1176,,BACS BREG
1177,,BACS K.
1178,,BACSKA
1179,,BACSKA K.
1180,,BACSKN
1181,,BACTO
1182,,BACTUBA
1183,,BACZKA
1184,,BAD ISCHL/AUSTR
1185,,BADAARAN
1186,,BADABHONNE
1187,,BADAD
1188,,BADANJ
1189,,BADAUDICA
1190,,BADDA
1191,,BADED
1192,,BADELEM
1193,,BADELEN
1194,,BADGORA
1195,,BADIZE
1196,,BADJA
1197,,BADJEV
1198,,BADLJEVINA
1199,,BADONY
1200,,BADOVINCI
1201,,BADROMMINE
1202,,BADUJA
1203,,BADUR
1204,,BADY
1205,,BAEBRA
1206,,BAEBRO
1207,,BAECA
1208,,BAELDA
1209,,BAERA
1210,,BAEYROTUH
1211,,BAEYROUTH
1212,,BAFRA
1213,,BAFTROUMIN
1214,,BAG-DAD
1215,,BAGAJIC
1216,,BAGCECIK
1217,,BAGCEGIK
1218,,BAGDAD
1219,,BAGDAG
1220,,BAGHAL
1221,,BAGHDE
1222,,BAGHTCHE D.
1223,,BAGHTCHES
1224,,BAGKOK
1225,,BAGKVE
1226,,BAGLAWIC
1227,,BAGMILJE
1228,,BAGNALUCA
1229,,BAGNALUKA
1230,,BAGNO
1231,,BAGNOR LUCA
1232,,BAGOJO
1233,,BAGOMOLJE
1234,,BAGOTE
1235,,BAGOVOBRDO
1236,,BAHALA
1237,,BAHAN
1238,,BAHANE
1239,,BAHCECIK
1240,,BAHERSOF
1241,,BAHIA LUKA
1242,,BAHINEU
1243,,BAHINOU
1244,,BAHOUR
1245,,BAHTCHE
1246,,BAHTCHEDJSK
1247,,BAHUNIME
1248,,BAHUR
1249,,BAHVEN ISLANDA
1250,,BAIC
1251,,BAID BOU
1252,,BAIDAR RAFIH
1253,,BAIDAV
1254,,BAIG
1255,,BAIKA
1256,,BAILOVIC
1257,,BAIMOK
1258,,BAINE
1259,,BAINO
1260,,BAIR JALA
1261,,BAIRAAT
1262,,BAIROUTH
1263,,BAIRUT
1264,,BAIRUTE
1265,,BAIRUTH
1266,,BAIT CHELALA
1267,,BAJA
1268,,BAJACIC
1269,,BAJAGI
1270,,BAJAGIC
1271,,BAJAGICI
1272,,BAJAGIZI
1273,,BAJAGLE
1274,,BAJAGUIK
1275,,BAJARET
1276,,BAJCIC
1277,,BAJCICI
1278,,BAJICI
1279,,BAJMA BASTA
1280,,BAJMAK
1281,,BAJMAS
1282,,BAJMOK
1283,,BAJMON
1284,,BAJOCIC
1285,,BAJRIKA
1286,,BAJSA
1287,,BAKANACK
1288,,BAKAR
1289,,BAKARAC
1290,,BAKARAK
1291,,BAKARAT
1292,,BAKAROV
1293,,BAKAS
1294,,BAKELEM
1295,,BAKER
1296,,BAKHLOUME
1297,,BAKHO
1298,,BAKHON
