,address_column_name,ciudad
13440,,N. KONIJA
13441,,N. MANIZA
13442,,N. POLJO
13443,,N. SAD
13444,,N. SKRENER
13445,,N. TRADJIS
13446,,N. VRBAS
13447,,N.BETCHEI
13448,,N.CHIR
13449,,N.ELEMER
13450,,N.PALANKA
13451,,NAAMO
13452,,NAARA
13453,,NAB. OSM.
13454,,NABAR TAV
13455,,NABATHIEH
13456,,NABATICH
13457,,NABATIEH
13458,,NABATIO
13459,,NABATTEH
13460,,NABBONCHE
13461,,NABCH
13462,,NABEH SAFA
13463,,NABET
13464,,NABET KARDAN
13465,,NABHA
13466,,NABINE
13467,,NABLUS
13468,,NABOVAN
13469,,NABUTIE
13470,,NACHARA
13471,,NACHOD
13472,,NACICE
13473,,NACISE
13474,,NACKEB
13475,,NACKIB
13476,,NAD SABOS
13477,,NADAJSELO
13478,,NADALJ
13479,,NADI CHAHZAUR
13480,,NADI EL ARAYECHE
13481,,NADI EL AYOUN
13482,,NADI EL AYOUR
13483,,NADIRESTAD
13484,,NADJ LAK
13485,,NADJENI
13486,,NADJINE
13487,,NADJINI
13488,,NADLESEK
13489,,NADLESK
13490,,NADOVO
13491,,NADRLJON
13492,,NAGAKI
13493,,NAGIBODOLJA
13494,,NAGY BECKEREK
13495,,NAGY TARNON
13496,,NAGYBECKEREK
13497,,NAGYBECSKEREK
13498,,NAGYLAC
13499,,NAGYSUKOVEC
13500,,NAHARDA
13501,,NAHEK HOMS
13502,,NAHEL
13503,,NAHERNE
13504,,NAHLO
13505,,NAHRA
13506,,NAIVA
13507,,NAJDAN
13508,,NAJIRAT
13509,,NAJYBEKSKEREC
13510,,NAKIPELESKI
13511,,NAKLE
13512,,NAKNOUNICH
13513,,NAKO V(INC)
13514,,NAKOFALVA
13515,,NAKORV
13516,,NAKOVA
13517,,NAKOVAN
13518,,NAKOVO
13519,,NAKOWO
13520,,NAKVO
13521,,NALCOVA
13522,,NALEB
13523,,NALENCI
13524,,NALINE
13525,,NALISNSKA
13526,,NALU HASSAN
13527,,NAMRICH
13528,,NAMS
13529,,NANESTRI
13530,,NAONA
13531,,NAOZARK
13532,,NAPA
13533,,NAPOLI
13534,,NARACHE
13535,,NARADNOWSKI
13536,,NARADUOVCI
13537,,NARAZDIN
13538,,NARD
13539,,NARDIJE
13540,,NARDIN
13541,,NARDINA
13542,,NARDINE
13543,,NARDINI
13544,,NARDIZAK
13545,,NAREW
13546,,NARIBOR
13547,,NARJAIOUN
13548,,NART
13549,,NARTA
13550,,NARTSKI O.
13551,,NARUA
13552,,NARVA
13553,,NARYE
13554,,NASCHITZE
13555,,NASCOVO
13556,,NASENFUSS
13557,,NASI CHIT
13558,,NASI HARO
13559,,NASICA
13560,,NASICE
13561,,NASICO
13562,,NASINCI
13563,,NASIRE
13564,,NASOCHE (ESLOVENIA)
13565,,NASOVA
13566,,NASOVCE
13567,,NASOVCE (ESLOVENIA)
13568,,NASOVICE (ESLOVENIA)
13569,,NASSIE
13570,,NASSIF
13571,,NASTI
13572,,NASZAN
13573,,NATANGA
13574,,NATANJO
13575,,NATANYA
13576,,NATAYA
13577,,NATLAK
13578,,NAUMIESTIO
13579,,NAURA
13580,,NAUSATZ
13581,,NAVALJA
13582,,NAVARRA
13583,,NAVCICE
13584,,NAVI
13585,,NAVISAD
13586,,NAVIZAD
13587,,NAVRICI
13588,,NAVRIN
13589,,NAXOBO
13590,,NAYAIE
13591,,NAYASSA
13592,,NAYYSAO
13593,,NAZAEB
13594,,NAZAEL
13595,,NAZARETH
13596,,NAZELLI
13597,,NAZERETH
13598,,NAZILLE
13599,,NAZILLI
13600,,NAZIMOVAC
13601,,NAZIYAF
13602,,NAZLI
13603,,NAZRAAT ABI
13604,,NAZUGHA
13605,,NCHAYLHA
13606,,NCHIR
13607,,NDALMACIA
13608,,NE
13609,,NEADEY
13610,,NEAMORAC
13611,,NEAMOROC
13612,,NEBECHKE
13613,,NEBECK
13614,,NEBECKE
13615,,NEBEFK
13616,,NEBEH
13617,,NEBEK
13618,,NEBHA
13619,,NEBIR
13620,,NEBK
13621,,NEBOSZJE
13622,,NECENCANI
13623,,NECESLAVCI
13624,,NECHIR
13625,,NECHOR
13626,,NEDELICA
13627,,NEDELISCE
13628,,NEDELJA
13629,,NEDERISCE
13630,,NEDK
13631,,NEDSAVE
13632,,NEEBEK
13633,,NEF
13634,,NEFEK
13635,,NEGDA
13636,,NEGONJA
13637,,NEGOSLAVO
13638,,NEGOTI
13639,,NEGOTIN
13640,,NEIFEH
13641,,NEIG
13642,,NEIR
13643,,NEKUM KLEK
13644,,NELCHLA HELON
13645,,NELIKI BASTAGI
13646,,NEM CENJA
13647,,NEM CRNJA
13648,,NEM CZMIA
13649,,NEM. CRNIA
13650,,NEM. CRNJA
13651,,NEM. CRUYA
13652,,NEM. CURJA
13653,,NEM.CRNJA
13654,,NEMACKA
13655,,NEMACKE CRNJE
13656,,NEMCE
13657,,NEMCHAHIR
13658,,NEMCHEHIR
13659,,NEMEADCI
13660,,NEMETH
13661,,NEMIAOSI
13662,,NEMIRA
13663,,NEMISHOMES
13664,,NEMKOLNF
13665,,NEMKOVICI
13666,,NEMMEK
13667,,NEN-NESTO
13668,,NENADICI
13669,,NENEDIC
13670,,NEOR
13671,,NEORIECSIN
13672,,NERADNOVCA
13673,,NERADNOVCI
13674,,NERANDOVICI
13675,,NERCEGOVAC
13676,,NEREAISEC
13677,,NERECI
13678,,NERECISCE
13679,,NEREG
13680,,NEREGISE
13681,,NERESCIZE
13682,,NERESI
13683,,NERESISCA
13684,,NERESISCE
13685,,NERESISCHE
13686,,NERESISEE
13687,,NERESRICIK
13688,,NERESZISCI
13689,,NEREZICE
13690,,NEREZICHE
13691,,NEREZIECE
13692,,NEREZIOCA
13693,,NEREZISCA
13694,,NEREZISCE
13695,,NEREZISCE'
13696,,NEREZISCHT
13697,,NEREZUSCE
13698,,NERORICIC
13699,,NES-ZIOWA
13700,,NESEISTE
13701,,NESEK
13702,,NESFELD
13703,,NESICE
13704,,NESIN
13705,,NESPE
13706,,NESTOR
13707,,NESULA
13708,,NETAIN
13709,,NETEN
13710,,NETEN ABU HAYA
13711,,NEU BANOCE
13712,,NEU BANOVCE
13713,,NEU BANOVCI
13714,,NEU FUTAK
13715,,NEU FUTOG
13716,,NEU FUTOK
13717,,NEU PALANKA
13718,,NEU PAZOVA
13719,,NEU URBAS
13720,,NEU VERBAS
13721,,NEU. VERBAS
13722,,NEUFUBAK
13723,,NEUKIRCHEN SLOV
13724,,NEUM
13725,,NEUSATZ
13726,,NEUSEHIR
13727,,NEUVERBASS
13728,,NEUWEBAS
13729,,NEUWERBAS
13730,,NEUZINA
13731,,NEV CHEIR
13732,,NEVADI
13733,,NEVASLA
13734,,NEVCHEIER
13735,,NEVCHEKIR
13736,,NEVERKE
13737,,NEVESINE
13738,,NEVESINJE
13739,,NEVI
13740,,NEVMARK
13741,,NEVSHEHIR
13742,,NEW NESTO
13743,,NEW PALANKA
13744,,NEW SIVATZ
13745,,NEZIMAC
13746,,NHAMET
13747,,NICALITZ
13748,,NICH
13749,,NICHAYRI
13750,,NICHIA
13751,,NICKTICH
13752,,NICODEMIA
13753,,NICOMADEL
13754,,NICOMEDEL
13755,,NICOMEDI
13756,,NICOMEDIA
13757,,NICOMEDIE
13758,,NICOMEDIN
13759,,NICOMELIA
13760,,NICOMIDIA
13761,,NICOMIDID
13762,,NICOMIDIE
13763,,NICOMIDION
13764,,NICOPOL
13765,,NICSICH
13766,,NIDE
13767,,NIECE
13768,,NIEFFERN
13769,,NIEGUS
13770,,NIEMCI
13771,,NIEMENCI
13772,,NIENICI
13773,,NIGDE
13774,,NIGDEH
13775,,NIGEMEI
13776,,NIHA
13777,,NIHA CHAUF
13778,,NIHOLJAC
13779,,NIJEMCI
13780,,NIJEMEI
13781,,NIJENICI
13782,,NIJRAN
13783,,NIKCHITEH
13784,,NIKEA
13785,,NIKINCI
13786,,NIKINKI
13787,,NIKLITHE
13788,,NIKOHITCH
13789,,NIKOHITEL
13790,,NIKOLA
13791,,NIKOLAJEV
13792,,NIKOLIBURG
13793,,NIKOLINI
13794,,NIKOMIDIA
13795,,NIKOMIDION
13796,,NIKOPOLIS
13797,,NIKSIC
13798,,"NIKSIC, (ZAGREB)"
13799,,NIKSICH
13800,,NIKSIK
13801,,NIKVENICA
13802,,NIMCICEVO
13803,,NIMES
13804,,NIMRA
13805,,NINCECERA
13806,,NINCEWKO
13807,,NINCHIC EVO
13808,,NINCICERO
13809,,NINCICEVE
13810,,NINCICEVO
13811,,NINCIERO
13812,,NINCISEVO
13813,,NINGUNO
13814,,NINICERO
13815,,NINTCHITCHEVO
13816,,NIOVI SAI
13817,,NIPEMCI
13818,,NIRAMORUK
13819,,NIROSI
13820,,NIRZELZ
13821,,NIS
13822,,NIS.
13823,,NISCH
13824,,NISCIC
13825,,NISH
13826,,NISIAI
13827,,NISICHIA
13828,,NISKIC
13829,,NISSAL
13830,,NISSOF
13831,,NITA
13832,,NITIA
13833,,NITIN
13834,,NITRA
13835,,NITRITE
13836,,NITZE
13837,,NIUCIVERO
13838,,NIVI URAS
13839,,NIVLAKA
13840,,NIXIE
13841,,NIZ
13842,,NIZE POLJE
13843,,NIZEPOLJE
13844,,NIZNY KEKED
13845,,NIZTA
13846,,NJEGNOSI
13847,,NJEGUSI
13848,,NJELOWA
13849,,NJIRBATORR
13850,,NJIREGHESE
13851,,NJIVERCE
13852,,NJUBOTNYA
13853,,NJURDJEWE
13854,,NKIB
13855,,NKICANIA
13856,,NLATO
13857,,NLRDIFE
13858,,NO RECUERDA
13859,,NOBLISIO
13860,,NOCHEHER
13861,,NOCI
13862,,NOCONODIL
13863,,NODALI
13864,,NODALJ
13865,,NOHEK HOMS
13866,,NOHIR
13867,,NOIBODINA
13868,,NOIR
13869,,NOJLOVICA
13870,,NOKARSKA
13871,,NOKEVO
13872,,NOKOV
13873,,NOKRIC
13874,,NOKRIN
13875,,NOME
13876,,NOMEJ
13877,,NOMEL
13878,,NOMENJ
13879,,NOMENY
13880,,NOMINADE
13881,,NONE
13882,,NONOSTOR
13883,,NONTOS
13884,,NOOGSETO
13885,,NOPOVACA
13886,,NOPRIVNIKA
13887,,NORA
13888,,NORD
13889,,NORD BARHALYOUN
13890,,NORDILI
13891,,NORE FULOG
13892,,NORECA
13893,,NORI SAD
13894,,NORIJULOG
13895,,NORINSKA
13896,,NORISAD
13897,,NORJEVAC
13898,,NORKIN
13899,,NOROSELO
13900,,NORSIC
13901,,NORTS. OTOK
13902,,NORVSAD
13903,,NOS KALIK
13904,,NOS-KALIK
13905,,NOSAVIKA
13906,,NOSCOVCI
13907,,NOSKOVCI
13908,,NOSTAR
13909,,NOTICIEN
13910,,NOTOR
13911,,NOUAKI
13912,,NOUGARD
13913,,NOV- FUTOK
13914,,NOVA
13915,,NOVA BUKOVICA
13916,,NOVA BUKOVINA
13917,,NOVA CRNJA
13918,,NOVA CUNJA
13919,,NOVA FUTEK
13920,,NOVA GADJDEHA
13921,,NOVA GAJDOBRA
13922,,NOVA GIADISKA
13923,,NOVA GRAD
13924,,NOVA GRADIS
13925,,NOVA GRADISKA
13926,,NOVA K.
13927,,NOVA KANGOZ
13928,,NOVA KANIZA
13929,,NOVA KANJIZA
13930,,NOVA KANZIA
13931,,NOVA KAPELA
13932,,NOVA PALANKA
13933,,NOVA PAZOVA
13934,,NOVA RACA
13935,,NOVA RAZA
13936,,NOVA SELA
13937,,NOVA SUBOCKA
13938,,NOVA T(INC)
13939,,NOVA VAS
13940,,NOVA VES
13941,,NOVA-GRUJA
13942,,NOVACRNJA
13943,,NOVADO
13944,,NOVAHONIC
13945,,NOVAK
13946,,NOVAK MALI
13947,,NOVAKI
13948,,NOVAKOVEC
13949,,NOVALIJA
13950,,NOVALJA
13951,,NOVALKO
13952,,NOVALZ
13953,,NOVAMAS
13954,,NOVAMESTO
13955,,NOVANO
13956,,NOVARA
13957,,NOVARSELA
13958,,NOVAS
13959,,NOVASCHA
13960,,NOVASCLA
13961,,NOVASELA
13962,,NOVASIOV
13963,,NOVASLE
13964,,NOVATOPOLA
13965,,NOVAVAR
13966,,NOVAVAS
13967,,NOVAVICZ
13968,,NOVAXELO
13969,,NOVE FONTOK
13970,,NOVE MESTO
13971,,NOVE PLOSCICE
13972,,NOVE SOVE
13973,,NOVE URBAS
13974,,NOVE-SOVE
13975,,NOVEN MESTU
13976,,NOVI
13977,,NOVI  FUTOG.
13978,,NOVI BANOUCI
13979,,NOVI BECEJ
13980,,NOVI BECY
13981,,NOVI BESCI
13982,,NOVI BOEY
13983,,NOVI BONAVICI
13984,,NOVI DOL
13985,,NOVI FATOK
13986,,NOVI FUBOG
13987,,NOVI FUDERG
13988,,NOVI FUHRK
13989,,NOVI FULOG
13990,,NOVI FUTAK
13991,,NOVI FUTOG
13992,,NOVI FUTOG.
13993,,NOVI FUTOK
13994,,NOVI GRABOVAC
13995,,NOVI KNEZEVA
13996,,NOVI MAROF
13997,,NOVI MAROT
13998,,NOVI MOROF
13999,,NOVI PAZAR
14000,,NOVI SAAL
14001,,NOVI SAD
14002,,NOVI SELIM
14003,,NOVI SELIN
14004,,NOVI SELLE
14005,,NOVI SIVAC
14006,,NOVI ST IVON
14007,,NOVI TAD
14008,,NOVI TULOG
14009,,NOVI URBAS
14010,,NOVI VBRAS.
14011,,NOVI VERBESZ
14012,,NOVI VIBAS
14013,,NOVI VINODOL
14014,,NOVI VRBAS
14015,,NOVI VRBAS.
14016,,NOVI YRBAS
14017,,NOVI-SAD
14018,,NOVI. VRBAS
14019,,NOVIBAZAR
14020,,NOVIBREG
14021,,NOVIC
14022,,NOVICOTH SLOVENIA
14023,,NOVIESAT
14024,,NOVIGRAD
14025,,NOVIKOD
14026,,NOVIKOT
14027,,NOVILAZ
14028,,NOVILJA
14029,,NOVISAD
14030,,NOVISAD (BACSKA)
14031,,NOVISAK
14032,,NOVISAT
14033,,NOVISATE
14034,,NOVISCHE
14035,,NOVISDAGA
14036,,NOVISELO
14037,,NOVISLANKANIEN
14038,,NOVIZAD
14039,,NOVIZAT
14040,,NOVO
14041,,NOVO CALO
14042,,NOVO FUTOG
14043,,NOVO KRACINAH
14044,,NOVO MESTO
14045,,NOVO NESTE
14046,,NOVO NESTO
14047,,NOVO SALO
14048,,NOVO SEBO
14049,,NOVO SELO
14050,,NOVO VRBAS
14051,,NOVO YJSMA
14052,,NOVO-SELO
14053,,NOVO-SUL
14054,,NOVOBRDO
14055,,NOVOCELO
14056,,NOVOE SODA
14057,,NOVOGRADE
14058,,NOVOGRADISKA
14059,,NOVOGSELA
14060,,NOVOL
14061,,NOVOLJA
14062,,NOVOM KENZC.
14063,,NOVOMESTO
14064,,NOVOMIRGOROD
14065,,NOVONATO
14066,,NOVOSEBE
14067,,NOVOSEH
14068,,NOVOSELA
14069,,NOVOSELCCI
14070,,NOVOSELCI
14071,,NOVOSELO
14072,,NOVOSELO DALMAZIA
14073,,NOVOSKA
14074,,NOVOSOLO
14075,,NOVOTOPOLA
14076,,NOVOXELE
14077,,NOVSHA
14078,,NOVSKA
14079,,NOVSKI
14080,,NOW FUTOG
14081,,NOWE
14082,,NOWE HOBY
14083,,NOWGROD
14084,,NOWISAD
14085,,NOWNO
14086,,NOWOSELO
14087,,NOWOSIOLKI
14088,,NOWSKA
14089,,NOWY
14090,,NOWY VRBAS
14091,,NPANS
14092,,NRAVIACO
14093,,NROSVAKI
14094,,NRSAC
14095,,NUALJA
14096,,NUBA
14097,,NUESIC
14098,,NUEVA YORK
14099,,NUKODER
14100,,NUKOVAR
14101,,NUNCIERO
14102,,NUNKOVA
14103,,NURAF
14104,,NUSIR
14105,,NUSKAGRAVA
14106,,NUSKOVA
14107,,NUSTAR
14108,,NVA BUKOVICA
14109,,NZDOLJE
14110,,OANEVEZYS
14111,,OASIEK
14112,,OAVSKA
14113,,OBCNIA DUPASNICA
14114,,OBEBA
14115,,OBERDORF
14116,,OBERIXINGEE
14117,,OBERUFER
14118,,OBERWIL
14119,,OBGE
14120,,OBIJEK
14121,,OBILICEOV
14122,,OBILICEVO
14123,,OBILICHIRO
14124,,OBLJAJA
14125,,OBOD
14126,,OBRADAE
14127,,OBRANKOVCI
14128,,OBRANKOVEC
14129,,OBRAVAC
14130,,OBRAVAC (SPLIT)
14131,,OBRENOVAC
14132,,OBRENOVAI
14133,,OBRES
14134,,OBREZ
14135,,OBREZJE
14136,,OBRIEZ-DORY
14137,,OBRIJE
14138,,OBROSVECK
14139,,OBROVAC
14140,,OBROVAZZO
14141,,OBROVNICA
14142,,OBRSJE
14143,,OBSCHA
14144,,OBSEVK
14145,,OBULIN
14146,,OBULJANO
14147,,OBULJINO
14148,,OBVASE
14149,,OCEK
14150,,OCHAUS
14151,,OCHRID
14152,,OCHRIDE
14153,,OCINJA
14154,,OCKENING
14155,,OCRISI
14156,,OCRIT
14157,,OCRUM
14158,,OCTISI
14159,,OCUKOVCI
14160,,ODAISSI
14161,,ODALIA
14162,,ODANA
14163,,ODEILGE STONE
14164,,ODEITE
14165,,ODEMA
14166,,ODEMBURG
14167,,ODEMIS
14168,,ODEMISSION
14169,,ODENCI
14170,,ODENIS
14171,,ODENISSE
14172,,ODERONICK
14173,,ODESA
14174,,ODESMA
14175,,ODESSA
14176,,ODEYA
14177,,ODIMIS
14178,,ODINJ
14179,,ODJACI
14180,,ODJIREC
14181,,ODKOPI
14182,,ODNI
14183,,ODNIJANEC
14184,,ODONIS
14185,,ODOROCI
14186,,ODRA
14187,,ODRANCI
14188,,ODRI
14189,,ODRIN
14190,,ODSADZ
14191,,ODUNA
14192,,ODZACI
14193,,ODZASI
14194,,ODZSACZ
14195,,OERSZOLLOA
14196,,OERSZOLLOS
14197,,OESTEREC
14198,,OFANE
14199,,OFIJIEK
14200,,OFION
14201,,OFRAN KARA
14202,,OGOLIN
14203,,OGORJE
14204,,OGRADJENIK
14205,,OGRIWNISCE
14206,,OGRIZANE
14207,,OGRUG
14208,,OGULIE
14209,,OGULIN
14210,,OGULIN/CROATIA
14211,,OGULLIN
14212,,OGULNI
14213,,OHAZZE
14214,,OHMS
14215,,OHNAH
14216,,OHRICA
14217,,OHRID
14218,,OHRIDE
14219,,OHRIDR
14220,,OHRUG
14221,,OHTIMI
14222,,OISAVA
14223,,OISIJEK
14224,,OJISEH
14225,,OJRIDA
14226,,OKANJNIA
14227,,OKDAYL
14228,,OKENEG
14229,,OKER
14230,,OKERNOKABER
14231,,OKING
14232,,OKIO
14233,,OKIRSI
14234,,OKLIN
14235,,OKLISI
14236,,OKORWOLJY-NJARSTA
14237,,OKRING
14238,,OKRUB
14239,,OKRUG
14240,,OKRUG-DAHIN
14241,,OKRUK
14242,,OKSIRE
14243,,OKTISI
14244,,OKUCANI
14245,,OKUJA
14246,,OKUJE
14247,,OLBERSD
14248,,OLDENFARB
14249,,OLEBIC
14250,,OLEP
14251,,OLEPTA
14252,,OLESKA
14253,,OLGATE
14254,,OLGATO
14255,,OLIB
14256,,OLIB DALMAZIA
14257,,OLIL
14258,,OLINA
14259,,OLIP
14260,,OLIPE
14261,,OLIV
14262,,OLIVO
14263,,OLOK
14264,,OLOUK
14265,,OLSEVEK
14266,,OLSEVK
14267,,OLSRO
14268,,OLZACI
14269,,OMAITT
14270,,OMALICA
14271,,OMAR
14272,,OMARHAC
14273,,OMERIK
14274,,OMERIO
14275,,OMFA
14276,,OMIS
14277,,OMISAIJ
14278,,OMISALI
14279,,OMISALJ
14280,,OMITEK
14281,,OMIZ
14282,,OMIZAJL
14283,,OMMIS
14284,,OMNAIO
14285,,OMOR
14286,,OMRANIE
14287,,OMRANIN
14288,,OMS
14289,,ONAINATE
14290,,ONAYN
14291,,ONDIC
14292,,ONE
14293,,ONEGLIA
14294,,ONENANTE
14295,,ONENATE
14296,,ONGEN A.
14297,,ONICI
14298,,ONIZAG
14299,,ONNISALJ
14300,,ONOLGRE
14301,,OPASAC
14302,,OPATIA
14303,,OPATIN
14304,,OPATINAC
14305,,OPATINCE
14306,,OPATOVAC
14307,,OPAVA
14308,,OPAWA
14309,,OPEMTZA
14310,,OPILO
14311,,OPION
14312,,OPOLIK
14313,,OPOMVEC
14314,,OPORO
14315,,OPOROVEC
14316,,OPOVO
14317,,OPOYO
14318,,OPOZEN
14319,,OPREMUDA
14320,,OPSIRINI
14321,,OPURCU
14322,,OPUREN
14323,,OPUYEN
14324,,OPUZAN
14325,,OPUZEN
14326,,OPUZENA
14327,,ORAG
14328,,ORAH
14329,,ORAH VAL
14330,,ORAHAVAE
14331,,ORAHOVAC
14332,,ORAHOVAO
14333,,ORAHOVAZ DALMAZIA
14334,,ORAHOVICA
14335,,ORAHOVICE
14336,,ORAIA
14337,,ORAK
14338,,ORAKOVAC
14339,,ORAL
14340,,ORALJ PRESEKA
14341,,ORASAK
14342,,ORASCE
14343,,ORASIC
14344,,ORAVICA
14345,,ORCHOVICA
14346,,ORDANY
14347,,ORDEN
14348,,ORDI
14349,,ORDOLENI
14350,,ORDOU
14351,,ORDOVICIK
14352,,OREBIC
14353,,OREBICC
14354,,OREBICH
14355,,OREHOVIJE
14356,,OREHOVLJE
14357,,OREKICHE
14358,,OREKO
14359,,ORELIC
14360,,ORENJA VAS TRATA
14361,,ORENSE
14362,,ORGAVAC
14363,,ORICHIJE
14364,,ORIEZTE
14365,,ORIJEK
14366,,ORIKA
14367,,ORIKOVIC
14368,,ORIOVAC
14369,,ORIOVAK
14370,,ORISJE
14371,,ORITVANICA
14372,,ORIZAN
14373,,ORIZOVO
14374,,ORJALU(INC.)
14375,,ORJALUKA
14376,,ORKLJEVEC
14377,,ORLAGAVCI
14378,,ORLAKOVO
14379,,ORLEP
14380,,ORLGAVCI
14381,,ORLJAK RACICA
14382,,ORLJAVAS
14383,,ORLJAVCI
14384,,ORLOVAC
14385,,ORLOVAK
14386,,ORMAIRA
14387,,ORMAN
14388,,ORMICH
14389,,ORMOR
14390,,ORMOS
14391,,ORMOZ
14392,,ORNI POTOK
14393,,ORNIS
14394,,ORNNIKA
14395,,ORNOMELJ
14396,,ORNS
14397,,OROH
14398,,OROLAHI
14399,,OROLEK
14400,,OROLIK
14401,,ORON
14402,,OROSAC
14403,,ORSA
14404,,ORSBICH
14405,,ORSIE
14406,,ORSOGNA
14407,,ORTAKII
14408,,ORTENIK
14409,,ORUFA
14410,,ORUGLICA
14411,,OS(INC)
14412,,OS(INC.)
14413,,OS.
14414,,OSAKA
14415,,OSANIES
14416,,OSARAC
14417,,OSARMA
14418,,OSCHITZ
14419,,OSEJCK
14420,,OSEK
14421,,OSI JEK
14422,,OSIAK
14423,,OSICA
14424,,OSICH
14425,,OSICK
14426,,OSIECH
14427,,OSIECK
14428,,OSIEG
14429,,OSIEHE
14430,,OSIEK
14431,,OSIJCK
14432,,OSIJEC
14433,,OSIJECK
14434,,OSIJEK
14435,,OSIJEK ESLAVONIA
14436,,OSIJEKA
14437,,OSIJELE
14438,,OSIJEN
14439,,OSIJET
14440,,OSIJIEK
14441,,OSIJK
14442,,OSIJKA
14443,,OSIJOK
14444,,OSIK
14445,,OSIKEK
14446,,OSINIC
14447,,OSINITZA
14448,,OSIPET
14449,,OSISEK
14450,,OSJACK
14451,,OSJCH
14452,,OSJECK
14453,,OSJEK
14454,,OSJIAK
14455,,OSJIEK
14456,,OSKORUSNO
14457,,OSLANY
14458,,OSLIE
14459,,OSLIEK
14460,,OSLIKA
14461,,OSLIO
